id,name,grade,created_at,updated_at,id,exp_kind,u_id,created_at,updated_at,id,exp_id,problem_id,time,answer,c_w,c_or_w,,ブロック,一問当たりの所要時間,正答率,集中力
40,kazuking,4,,,18,1,40,,,96,18,1,35420,162,162,1,,1,28910.4,1,0.627274268
40,kazuking,4,,,18,1,40,,,97,18,2,54968,534,534,1,,2,15562,0.8,0.932258065
40,kazuking,4,,,18,1,40,,,98,18,3,18840,343,343,1,,3,13328,0.8,1.088520408
40,kazuking,4,,,18,1,40,,,99,18,4,13092,92,92,1,,4,12073,1,1.502091444
40,kazuking,4,,,18,1,40,,,100,18,5,22232,119,119,1,,5,12704,1,1.42748347
40,kazuking,4,,,18,1,40,,,101,18,6,17864,576,576,1,,6,18977.2,1,0.955607255
40,kazuking,4,,,18,1,40,,,102,18,7,14973,212,212,1,,,16925.76667,0.933333333,
40,kazuking,4,,,18,1,40,,,103,18,8,11876,285,285,1,,,,,
40,kazuking,4,,,18,1,40,,,104,18,9,20776,325,315,0,,,,,
40,kazuking,4,,,18,1,40,,,105,18,10,12321,118,118,1,,,,,
40,kazuking,4,,,18,1,40,,,106,18,11,9949,720,720,1,,,,,
40,kazuking,4,,,18,1,40,,,107,18,12,12409,261,261,1,,,,,
40,kazuking,4,,,18,1,40,,,108,18,13,20353,234,234,1,,,,,
40,kazuking,4,,,18,1,40,,,109,18,14,15177,360,360,1,,,,,
40,kazuking,4,,,18,1,40,,,110,18,15,8752,288,148,0,,,,,
40,kazuking,4,,,18,1,40,,,111,18,16,22129,114,114,1,,,,,
40,kazuking,4,,,18,1,40,,,112,18,17,9117,455,455,1,,,,,
40,kazuking,4,,,18,1,40,,,113,18,18,8837,174,174,1,,,,,
40,kazuking,4,,,18,1,40,,,114,18,19,8889,248,248,1,,,,,
40,kazuking,4,,,18,1,40,,,115,18,20,11393,272,272,1,,,,,
40,kazuking,4,,,18,1,40,,,116,18,21,8261,470,470,1,,,,,
40,kazuking,4,,,18,1,40,,,117,18,22,16705,570,570,1,,,,,
40,kazuking,4,,,18,1,40,,,118,18,23,20177,238,238,1,,,,,
40,kazuking,4,,,18,1,40,,,119,18,24,8617,276,276,1,,,,,
40,kazuking,4,,,18,1,40,,,120,18,25,9760,84,84,1,,,,,
40,kazuking,4,,,18,1,40,,,121,18,26,19449,380,380,1,,,,,
40,kazuking,4,,,18,1,40,,,122,18,27,14353,112,112,1,,,,,
40,kazuking,4,,,18,1,40,,,123,18,28,23832,192,192,1,,,,,
40,kazuking,4,,,18,1,40,,,124,18,29,14248,171,171,1,,,,,
40,kazuking,4,,,18,1,40,,,125,18,30,23004,768,768,1,,,,,
